"","X","Name","Position","College","DraftYear","Team","DraftRound","PickNumber","PlayerID","Games","AvgValue","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","ProBowls","AllPros"
"130",835,"Harold Landry","LB","Boston College",2018,"TEN",2,41,"LandHa00",31,12,6.193548387,74.375,252,NA,4.64,24,36,119,4.19,6.88,NA,NA
"131",848,"Andra Davis","LB","Florida",2002,"CLE",5,141,"DaviAn20",143,55,6.153846154,72.9,244,NA,4.77,20,31.5,106,NA,NA,NA,NA
"132",849,"Ben Gedeon","LB","Michigan",2017,"MIN",4,120,"GedeBe00",39,15,6.153846154,73.625,244,NA,4.75,27,34.5,119,4.39,6.98,NA,NA
"133",870,"Jarvis Jones","LB","Georgia",2013,"PIT",1,17,"JoneJa05",50,19,6.08,74.375,241,13,4.74,NA,NA,NA,NA,NA,NA,NA
"134",873,"Raekwon McMillan","LB",NA,2017,"MIA",2,54,"McMiRa02",29,11,6.068965517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",878,"Perry Riley","LB","Louisiana State",2010,"WAS",4,103,"RilePe00",90,34,6.044444444,73,239,NA,4.69,NA,35.5,119,4.25,6.97,NA,NA
"136",885,"Hunter Hillenmeyer","LB",NA,2003,"GB",5,166,"HillHu20",101,38,6.01980198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",888,"Scott Shanle","LB","Nebraska",2003,"STL",7,251,"ShanSc20",133,50,6.015037594,74.1,245,NA,4.71,20,31,111,4.32,7.27,NA,NA
"138",890,"Aaron Curry","LB","Wake Forest",2009,"SEA",1,4,"CurrAa99",48,18,6,73.75,254,NA,4.52,25,37,124,4.51,7.15,NA,NA
"139",892,"Boss Bailey","LB","Georgia",2003,"DET",2,34,"BailBo20",64,24,6,75.1,233,NA,4.58,NA,42,135,NA,NA,NA,NA
"140",895,"Cole Holcomb","LB","North Carolina",2019,"WAS",5,173,"HolcCo00",16,6,6,73.25,231,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",898,"Darron Lee","LB","Ohio State",2016,"NYJ",1,20,"LeexDa00",56,21,6,72.75,232,NA,4.47,17,35.5,133,4.2,7.12,NA,NA
"142",901,"Dre Greenlaw","LB",NA,2019,"SF",5,148,"GreeDr00",16,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",905,"Jerome Baker","LB","Ohio State",2018,"MIA",3,73,"BakeJe00",32,12,6,73.125,229,NA,4.53,22,36.5,126,NA,NA,NA,NA
"144",906,"Josh Allen","LB",NA,2019,"JAX",1,7,"AlleJo03",16,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",915,"Terrell Edmunds","LB",NA,2018,"PIT",1,28,"EdmuTe00",32,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",931,"Stephen Tulloch","LB","North Carolina State",2006,"TEN",4,116,"TullSt20",159,59,5.937106918,70.75,241,NA,4.93,27,33.5,113,4.15,7.19,NA,1
"147",933,"Manti Te'o","LB","Notre Dame",2013,"SD",2,38,"TeoxMa00",62,23,5.935483871,73.25,241,23,4.82,NA,33,113,4.27,7.13,NA,NA
"148",939,"Napoleon Harris","LB","Northwestern",2002,"OAK",1,23,"HarrNa20",100,37,5.92,74.9,253,NA,4.57,27,34,110,4.44,7.15,NA,NA
"149",940,"Christian Kirksey","LB","Iowa",2014,"CLE",3,71,"KirkCh00",73,27,5.917808219,73.75,233,NA,4.72,16,32,122,NA,NA,NA,NA
"150",945,"Clint Session","LB",NA,2007,"IND",4,136,"SessCl99",57,21,5.894736842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",948,"Miles Burris","LB","San Diego State",2012,"OAK",4,129,"BurrMi00",38,14,5.894736842,74.125,246,NA,4.73,31,37.5,121,NA,NA,NA,NA
"152",950,"Morlon Greenwood","LB","Syracuse",2001,"MIA",3,88,"GreeMo20",125,46,5.888,72.4,237,NA,4.61,21,33.5,112,4.08,7.62,NA,NA
"153",958,"Elandon Roberts","LB","Houston",2016,"NE",6,214,"RobeEl00",60,22,5.866666667,71.375,234,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",999,"Justin Durant","LB","Hampton (VA)",2007,"JAX",2,48,"DuraJu99",128,46,5.75,72.88,230,NA,4.55,25,36,121,4.09,6.77,NA,NA
"155",1003,"Sean Weatherspoon","LB","Missouri",2010,"ATL",1,19,"WeatSe99",67,24,5.731343284,73.25,239,NA,4.62,34,40,123,4.38,6.99,NA,1
"156",1005,"Jason Babin","LB",NA,2004,"HOU",1,27,"BabiJa20",148,53,5.72972973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",1008,"Brandon Spoon","LB","North Carolina",2001,"BUF",4,110,"SpooBr20",14,5,5.714285714,74.4,245,NA,4.73,33,35.5,110,4.15,7.3,NA,NA
